artist,title,total_streams,bot_streams,flagged_days,total_days,max_spike_ratio,avg_rolling_cv,drop_after_spike_count,bot_pct,confidence,flag_reasons,note
"Rae Sremmurd, Swae Lee, Slim Jxmmi",Guatemala - From Swaecation,43001252.0,0.0,0,74,2.8370571412466177,0.2610574662157608,2.0,0.0,9.3,—,
"Rae Sremmurd, Swae Lee, Slim Jxmmi",Powerglide (feat. Juicy J),111622258.0,0.0,0,62,1.331480390066581,0.12402863865621125,0.0,0.0,4.0,—,
"Rae Sremmurd, Swae Lee, Slim Jxmmi",Powerglide (feat. Juicy J) - From SR3MM,151052500.0,0.0,0,197,1.0996777699270943,0.06844386715884519,0.0,0.0,3.3,—,
Rag'n'Bone Man,Human,110487051.0,0.0,0,153,1.1384474775971574,0.05908802428342166,0.0,0.0,3.4,—,
Rag'n'Bone Man,Skin,61131517.0,0.0,0,104,1.19794645290601,0.061270545197968346,0.0,0.0,3.6,—,
Rammstein,DEUTSCHLAND,8426511.0,0.0,0,10,1.1796111084196306,0.18951481371375076,0.0,0.0,3.5,—,
Ramz,Barking,60780797.0,0.0,0,102,1.1599487297546691,0.06726466510938944,0.0,0.0,3.5,—,
Rauw Alejandro,Enchule,5579994.0,0.0,0,7,1.0822453854360385,0.030881548403996862,0.0,0.0,3.2,—,
Rauw Alejandro,Sexo Virtual,5299147.0,0.0,0,7,1.095842170130388,0.04471593126096169,0.0,0.0,3.3,—,
Rauw Alejandro,Tattoo,178751414.0,0.0,0,155,1.263540333562737,0.054346432436012,0.0,0.0,3.8,—,
Rauw Alejandro,Tattoo - Remix with Camilo,145150862.0,0.0,0,89,1.4181939148411544,0.07541266565029335,0.0,0.0,4.3,—,
Rauw Alejandro,Todo De Ti,71278003.0,0.0,0,14,1.0745288109947113,0.06414116313122885,0.0,0.0,3.2,—,
"Rauw Alejandro, Anuel AA",Reloj,40314075.0,0.0,0,30,1.245260497103423,0.1188473630209719,0.0,0.0,3.7,—,
"Rauw Alejandro, Anuel AA, Natti Natasha, Farruko, Lunay",Fantasias - Remix,35656824.0,0.0,0,52,1.0658695850641349,0.051272931680149285,0.0,0.0,3.2,—,
"Rauw Alejandro, Chencho Corleone",El Efecto,72454147.0,0.0,0,95,1.1045510235812388,0.050404468353508994,0.0,0.0,3.3,—,
"Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex",El Efecto - Remix,41153232.0,0.0,0,62,1.1097241109087976,0.054647446771957764,0.0,0.0,3.3,—,
"Rauw Alejandro, Dalex, Lenny Tavárez",Elegí (feat. Dímelo Flow),165283197.0,0.0,0,159,1.1162242757897496,0.049181086791967726,0.0,0.0,3.3,—,
"Rauw Alejandro, Farruko",Fantasias,323131126.0,0.0,0,264,1.1963828033172261,0.058879269206624195,0.0,0.0,3.6,—,
"Rauw Alejandro, J Balvin",De Cora <3,7108896.0,0.0,0,10,1.065814413389395,0.045188713252285136,0.0,0.0,3.2,—,
"Rauw Alejandro, Mr. Naisgai",2/Catorce,22986932.0,0.0,0,14,1.1214270807961788,0.10851805031906359,0.0,0.0,3.4,—,
"Rauw Alejandro, Nicky Jam",Que Le De,8896309.0,0.0,0,14,1.0449390533014113,0.042543397142582325,0.0,0.0,3.1,—,
Ray Parker Jr.,Ghostbusters,7630297.0,0.0,0,5,2.568149740802786,1.0465159772565304,1.0,0.0,13.7,—,"🚀 Release-window ramp — likely legitimate launch, not fraud"
Red Velvet,Psycho,43387320.0,0.0,0,47,1.1911690486901025,0.06117226074063425,0.0,0.0,3.6,—,
Red Velvet - IRENE & SEULGI,Monster,6098548.0,0.0,0,8,1.0181077018721523,0.1353712212822332,0.0,0.0,3.1,—,
Regard,Ride It,627775455.0,0.0,0,410,1.360949018501783,0.07095561092614325,0.0,0.0,4.1,—,
"Regard, RAYE",Secrets,92685393.0,0.0,0,87,1.2133728106826387,0.07996344797232248,0.0,0.0,3.6,—,
Reik,Me Niego (feat. Ozuna & Wisin),333686233.0,0.0,0,254,1.3369760139376667,0.07032299655205715,0.0,0.0,4.0,—,
"Reik, J Balvin, Lalo Ebratt",Indeciso,166481394.0,0.0,0,173,1.214012484124789,0.07489567056773448,0.0,0.0,3.6,—,
"Reik, Maluma",Amigos Con Derechos,145352938.0,0.0,0,159,1.297295352889177,0.07195391829524835,0.0,0.0,3.9,—,
"Renée Elise Goldsberry, Original Broadway Cast of Hamilton",Satisfied,4236881.0,0.0,0,15,1.1394883524921595,0.09904902479746931,0.0,0.0,3.4,—,
"Renée Elise Goldsberry, Phillipa Soo, Jasmine Cephas-Jones, Leslie Odom Jr., Original Broadway Cast of Hamilton",The Schuyler Sisters,2652549.0,0.0,0,11,1.03000994048618,0.04534136837359519,0.0,0.0,3.1,—,
Residente,René,17705840.0,0.0,0,14,1.2495610954526046,0.2415468807455725,0.0,0.0,3.7,—,
"Residente, Bad Bunny",Bellacoso,40539723.0,0.0,0,49,1.1940600063031428,0.06796367532261767,0.0,0.0,3.6,—,
Rex Orange County,Face to Face,665296.0,0.0,0,3,0.5105171865276895,1.0030624614129036,0.0,0.0,1.5,—,
Rex Orange County,Pluto Projector,860135.0,0.0,0,4,0.9809203271930425,0.1926029454917156,0.0,0.0,2.9,—,
Reynmen,Derdim Olsun,2033828.0,0.0,0,3,1.0764109741787908,0.08728199729852032,0.0,0.0,3.2,—,
Reynmen,Ela,9358997.0,0.0,0,12,0.9952436304192127,0.09369286325365912,0.0,0.0,3.0,—,
Rich Brian,Attention (feat. Offset),1019161.0,0.0,0,5,0.5479084515796402,0.988132987373348,0.0,0.0,1.6,—,
Rich Brian,Glow Like Dat,171015.0,0.0,0,1,0.7844556844348898,0.2336720198244387,0.0,0.0,2.4,—,
"Rich Brian, Keith Ape, XXXTENTACION",Gospel,500294.0,0.0,0,2,1.4759401342370913,0.17433124571376585,0.0,0.0,4.4,—,
"Rich Music LTD, Dalex, Sech, Justin Quiles, Wisin, Zion, Dímelo Flow, Lenny Tavárez, Feid",Quizás,19165872.0,0.0,0,19,1.2686010018949092,0.09687628562890528,0.0,0.0,3.8,—,
"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid",Perreo en La Luna,49120410.0,0.0,0,62,1.1267062603395228,0.06273669805384231,0.0,0.0,3.4,—,
"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid, Wisin, Zion",Quizas,147215419.0,0.0,0,144,1.1267419323044654,0.06491624525860942,0.0,0.0,3.4,—,
Rich The Kid,4 Phones,770494.0,0.0,0,3,0.9407327758334125,0.13448382120208616,0.0,0.0,2.8,—,
Rich The Kid,Early Morning Trappin (feat. Trippie Redd),1398981.0,0.0,0,6,0.9463972367144334,0.17955229068459697,0.0,0.0,2.8,—,
Rich The Kid,End Of Discussion (feat. Lil Wayne),4380155.0,0.0,0,11,0.9555064248664579,0.3856979066120081,0.0,0.0,2.9,—,
