artist,genre_category
Faruk Orman,EDM / Electronic
Fat Joe,Hip Hop / Rap
Favored Nations,Other
Faye Webster,Other
Feid,Latin
Felax,Other
Fergie,Other
Fetty Wap,Other
Fever Ray,Pop
Fifth Harmony,Other
Finn,Other
Fiona Apple,Pop
Fitz and The Tantrums,Other
Fivio Foreign,Hip Hop / Rap
Fleetwood Mac,Rock / Alternative
Fleurie,Other
Flight,Other
Flo Milli,Other
Flo Rida,Other
Floats,Other
Florence + The Machine,Pop
Florida Georgia Line,Country
Flower Face,Other
FloyyMenor,Latin
Flume,Other
Foo Fighters,Rock / Alternative
Foreigner,Other
Forest Blakk,Other
Forrest Finn,Other
Forrest Frank,Other
Foster The People,Other
Fourtwnty,Rock / Alternative
Foxilitus,Other
Franco Micalizzi,Other
Frank Ocean,Other
Frank Walker,Other
Frankie Ballard,Country
Frankie Muriel,Other
Frankie Rose,Pop
Fransii,Other
Franz Ferdinand,Rock / Alternative
Fraser Stott,Other
Fred Neil,Other
Fred again..,EDM / Electronic
Frederik Wiedmann,Other
French 79,EDM / Electronic
French Montana,Other
French The Kid,Hip Hop / Rap
Freya Ridings,Other
Friedrich Habetler,Other
Friends & Praise,Other
Frou Frou,Other
Fuerza Regida,Other
Fugees,Hip Hop / Rap
Fujii Kaze,Pop
Fuse ODG,Other
Future,Hip Hop / Rap
G Herbo,Hip Hop / Rap
G-Eazy,Other
G-Epic,Other
G-Unit,Hip Hop / Rap
GAYLE,Other
GEN.KLOUD,Other
GINAxC,Other
GIVĒON,R&B / Soul
GOVAN,Other
GRLwood,Other
GROUPLOVE,Rock / Alternative
GYMBRO,EDM / Electronic
Gabry Ponte,EDM / Electronic
Galantis,Other
Gammer,Other
Gang Starr,Hip Hop / Rap
Gang of Youths,Other
Gareth Coker,Other
Gary O'Slide,Other
Gavin Adcock,Country
Gavin DeGraw,Other
Geek Music,Other
Geneburn,Other
Genesis,Rock / Alternative
Genevieve Stokes,Other
Geoff Knorr,Other
Geoff Zanelli,Other
George Ezra,Other
George Michael,Other
George Strait,Country
Gerry Rafferty,Rock / Alternative
Gesaffelstein,Other
Ghost,Rock / Alternative
Ghostemane,Hip Hop / Rap
Gigi Perez,Other
Gin Wigmore,Other
Gina Luciani,Other
Ginuwine,R&B / Soul
Gio Mkl,Other
Gioachino Rossini,Other
Girls Aloud,Other
Girls' Generation,Pop
Glass Animals,Other
Glasser,Other
Glitter Party,Pop
Global Stage Orchestra,Other
Gloria Kim,Other
Gnarls Barkley,Other
Good Neighbours,Other
Gorillaz,Other
Gotye,Other
Gracie Abrams,Other
Grady,Other
Grailz Beni,Other
Grateful Dead,Other
Green Day,Other
Greg Edmonson,Other
Greta Van Fleet,Rock / Alternative
Grimes,Pop
Grinderman,Rock / Alternative
Groove Crackers,EDM / Electronic
Grupo Frontera,Other
Gryffin,EDM / Electronic
Gucci Mane,Hip Hop / Rap
Gulmee,EDM / Electronic
Gunna,Hip Hop / Rap
Guns N' Roses,Rock / Alternative
Gustavo Santaolalla,Other
Gustixa,Other
Guy Gerber,EDM / Electronic
Gwen Stefani,Other
Gwendolyn Sanford,Other
Gym Class Heroes,Other
HAIM,Other
HEALTH,Rock / Alternative
HELLYEAH,Rock / Alternative
HIXTAPE,Country
HRVY,Other
HUGEL,Latin
HUNTR/X,Pop
HUS,Other
HUTS,EDM / Electronic
Haddaway,EDM / Electronic
Haifa Wehbe,Pop
Hailee Steinfeld,Other
Haley Heynderickx,Other
Haley Reinhart,Other
Halloween All-Stars,Other
Halsey,Other
Handsome Poets,Pop
Hank Levy,Other
Hank Williams,Country
Hannah Harlacher,Other
Hanno,Other
Hans Zimmer,Other
Hanumankind,Hip Hop / Rap
Happening Now,Other
Harmless,Other
Harold Faltermeyer,Pop
Harry Gregson-Williams,Other
Harry Styles,Other
Hayley Kiyoko,Other
Heart,Rock / Alternative
Heitor Pereira,Other
Helena Deland,Other
Henry Jackman,Other
Henry Mancini,Other
Henry Smith,Other
Henry Verus,R&B / Soul
Hey Violet,Other
Hideki Taniuchi,Other
Hiko,Other
Hilary Duff,Other
Hildur Guðnadóttir,Other
Hinder,Other
Hippie Sabotage,Other
Hiroaki Tsutsumi,Other
Hole,Other
Hollywood Undead,Hip Hop / Rap
Homeboy Delmar,Other
Honey Gentry,Other
Honors,Other
Hoobastank,Rock / Alternative
Hoodie Forester,Other
Hot Chelle Rae,Other
Hotel Ugly,Other
Houston,Other
Howard Shore,Other
Hozier,Other
Hucci,Hip Hop / Rap
Hudson Westbrook,Country
Huevos Rancheros,Rock / Alternative
Huey Lewis & The News,Other
Huncho Jack,Other
Hunter Hayes,Country
Hurricane on Saturn,Other
Hyper Kenzo,EDM / Electronic
Hypermorph,EDM / Electronic
HyunA,Pop
I DONT KNOW HOW BUT THEY FOUND ME,Other
I Hear Sirens,Rock / Alternative
I'll Take You There Choir,Other
I.U,Other
IAMMAG,Other
IAN SIZE,Other
IC3PEAK,EDM / Electronic
IDLES,Other
ILLIT,Pop
ILURO,Other
IV Tune,Other
IZA,Pop
Iaco,EDM / Electronic
Ian Asher,Other
Ice Cube,Hip Hop / Rap
Ice Spice,Other
Icon For Hire,Rock / Alternative
Icona Pop,Other
Idina Menzel,Other
Idreesi,Hip Hop / Rap
Iggy Azalea,Other
Iggy Pop,Other
Ilan Eshkeri,Other
ImXgine,Other
Imagine Dragons,Other
Imanbek,EDM / Electronic
Imogen Heap,Other
Incubus,Rock / Alternative
India Thieriot,Other
IndieHay,Other
Indigo Girls,Other
Indila,Pop
Inner Circle,Other
Inon Zur,Other
Intellios,Other
Internet Money,Other
Irma Thomas,R&B / Soul
Isaac Chambers,Other
Isabel LaRosa,Other
Itzhak Perlman,Other
Iyaz,Other
J 2 5,Other
J Balvin,Latin
J. Baez,Other
J. Cole,Hip Hop / Rap
J.I.Bri,Other
JACKBOYS,Other
JADE,Other
JAY-Z,Hip Hop / Rap
JD & The Straight Chasers,Other
JENNIE,Pop
JEREMIAS,Rock / Alternative
JISOO,Pop
JLS,Other
JNL,Other
JNR CHOI,Other
JONY,Other
JP Cooper,Other
JP Saxe,Other
JVKE,Other
JVLA,Other
JW Velly,Other
Ja Rule,Hip Hop / Rap
Jack Harlow,Other
Jack Johnson,Rock / Alternative
Jack Ü,Other
Jacob Storey,R&B / Soul
Jacob Tillberg,Other
Jadakiss,Hip Hop / Rap
Jaden,Other
Jain,Pop
James Arthur,Pop
James Bay,Other
James Blake,Other
James Blunt,Other
James Horner,Other
James Hype,EDM / Electronic
James Morrison,Other
James Newton Howard,Other
James Otto,Country
James TW,Other
Jamie Christopherson,Other
Jamie Lidell,R&B / Soul
Jamie Salisbury aka Jonas West,Other
Jana Diab,Pop
Janet Jackson,Other
Jann,Other
Jared Moreno Luna,Other
Jas Von,Other
Jason Aldean,Country
Jason Charles Miller,Other
Jason Derulo,Other
Jason Graves,Other
Jason Hayes,Other
Jason Mraz,Pop
Jawsh 685,Other
Jax Jones,Other
Jay Bird,EDM / Electronic
Jay Rock,Other
Jay Sean,Other
Jaymes Young,Other
JeLa,Other
Jeff Beal,Other
Jeff Buckley,Other
Jeff Russo,Other
Jeff van Dyck,Other
Jefferson Airplane,Rock / Alternative
Jelly Roll,Hip Hop / Rap
Jennifer Lopez,Other
Jenny O.,Other
Jeremiah Sand,Other
Jeremih,Other
Jeremy Soule,Other
Jeremy Zucker,Other
Jeremy Zuckerman,Other
Jerry Goldsmith,Other
Jesper Kyd,Other
Jess Glynne,Other
Jesse Harlin,Other
Jesse Hopkins,Other
Jesse®,Other
Jessica Baran-Surel,Other
Jessica Mazin,Other
Jessica Pratt,Other
Jessie J,Other
Jessie Murph,Other
Jet,Other
Jhené Aiko,R&B / Soul
Jiggy Tone,Other
Jim Bonney,Other
Jim Sturgess,Other
Jimi Hendrix,Rock / Alternative
Jimilian,Hip Hop / Rap
Jimin,Pop
Jimmy Eat World,Other
Jin,Pop
Jo Dee Messina,Country
Joan As Police Woman,Other
Joan Jett & the Blackhearts,Rock / Alternative
Joe Anderson,Other
Joe Cocker,Other
Joe Diffie,Country
Joe Henson,Other
Joe Hermes,Other
Joe Hisaishi,Other
Joe Nichols,Country
Joel Adams,Other
Joel Corelitz,Other
Joel Corry,EDM / Electronic
Joel McNeely,Other
Joel P West,Other
Joey Bada$$,Hip Hop / Rap
Johan Söderqvist,Other
John + Jane Q. Public,Other
John Brandt,Other
John Carpenter,Other
John Debney,Other
John Hartford,Other
John Legend,Pop
John Michael Montgomery,Country
John Newman,Other
John Paesano,Other
John Powell,Other
John Travolta,Other
John Williams,Other
Johnning,Other
Johnny Cash,Country
Johnny Goth,Pop
Johnny Hollow,Other
Johnny Rain,Other
Johnny Thunders,Other
Joji,Other
Jon Brion,Other
Jon Langston,Country
Jon Pardi,Country
Jonas Blue,EDM / Electronic
Jonas Brothers,Other
Jonas Kvarnström,Other
Jonas Lefvert,Other
Jonasu,Other
Jonna Jinton,Other
Jordan Adetunji,Hip Hop / Rap
Jordan Davis,Country
Jordan Parker,Other
Jordan Seigel,Other
Jordana Bryant,Other
Joris de Man,Other
Josh Abbott Band,Country
Josh Homme,Other
Josh Turner,Country
José González,Rock / Alternative
Journey,Other
Joy Again,Other
Joywave,Other
JuMa44,Other
Jubël,Other
Juice WRLD,Hip Hop / Rap
Juju,Hip Hop / Rap
Julia Michaels,Other
Julie Doiron,Other
Jung Kook,Pop
Jungle,Other
Just Kids,Other
Justice,EDM / Electronic
Justin Bieber,Other
Justin Hurwitz,Other
Justin Timberlake,Other
Justine Skye,Other
Jutes,Other
Jóhann Jóhannsson,Other
K!llx,Other
K'NAAN,Other
K.Flay,Other
K3YN0T3,EDM / Electronic
KALEO,Other
KAROL G,Latin
KATSEYE,Pop
KEV-Y,Other
KISS,Rock / Alternative
KOLBEIN,EDM / Electronic
KROMA,EDM / Electronic
KRS-One,Hip Hop / Rap
KSI,Other
KXLLSWXTCH,Hip Hop / Rap
KYANU,Other
KYLE,Other
Kae,R&B / Soul
Kailee Morgue,Other
Kali Uchis,Other
Kane Brown,Country
Kansas,Rock / Alternative
Kanye West,Hip Hop / Rap
Kaptain Swizzy,Other
Karin Dreijer Andersson,Other
Kat Dahlia,Other
Kate Anstey,Other
Kate Bush,Pop
Kate Nash,Other
Kate Rusby,Other
Katy Perry,Pop
Kavinsky,Other
Kayote,Other
Keane,Other
Kehlani,Other
Keira Knightley,Other
Keith Urban,Country
Keke Palmer,Other
Kelly Clarkson,Other
Kelly Rowland,Other
Kelsea Ballerini,Country
Kelsey Lu,R&B / Soul
Kelsey Olivia,Other
Ken,EDM / Electronic
Kendra Erika,Pop
Kendrick Lamar,Hip Hop / Rap
Kenia Os,Latin
Kenny Chesney,Country
Kenya Grace,Other
Kenzo Cregan,Other
Kesha,Other
Kevin Gates,Other
Kevin Kiner,Other
Kevin Kiner; Gustavo Santaolalla,Other
Kevin MacLeod,Other
Kevin Penkin,Other
Kevin Sherwood,Other
Key Glock,Other
Khalid,Other
Khantrast,Hip Hop / Rap
Khari!,Other
Khruangbin,Other
Kid Cudi,Other
Kid Ink,Other
Kid Rock,Other
Kiiara,Other
Kiki Rockwell,Other
Killstation,Hip Hop / Rap
Kim Petras,Other
Kina,Other
Kindness,Other
King Crimson,Rock / Alternative
King Gizzard & The Lizard Wizard,Other
King Kxmi,Other
King Von,Hip Hop / Rap
